CD4533FFC0E1,D2B6503554D7,D7EE034361F8,DD697EA75B68,DF231643E227,E43355CA8B96,E6D9D20DD197,E8FD0B453DC4,F1307ECB3B90,F1EDAF28E08A,F69A86823B96,F8EE8B0847A4,FDAE5980F28C,EC72840D9AD3,E96AF2C858BA,E13B805C6CB0,FB2EE01C18CE
-85.375,-87.3,-65.6818181818182,-87.8235294117647,-90.3333333333333,-74.8387096774194,-96,-84,-69.0857142857143,-84,-79.2142857142857,-81.0869565217391,-84.0416666666667,-81.6428571428571,NaN,NaN,NaN
-84.2083333333333,-87.4285714285714,-66.0238095238095,-89.3333333333333,-90,-75.7307692307692,NaN,-87.25,-68.4705882352941,-83.8636363636364,-79.1052631578947,-81.3333333333333,-81.7647058823529,-78.0869565217391,NaN,NaN,NaN
-85.5238095238095,-86.6923076923077,-66.5,-87.1111111111111,-90.7058823529412,-75.5652173913043,NaN,-88.2222222222222,-69,-84.15,-77.6470588235294,-80.3333333333333,-82,-79.8235294117647,NaN,NaN,NaN
-79.2068965517241,-87.5384615384615,-71.6666666666667,-78.448275862069,-81.6470588235294,-80.44,-93.75,-88,-75.09375,-91.6071428571429,-85.8666666666667,-83.2941176470588,-87.4761904761905,-65.4516129032258,-93.4444444444444,-87.304347826087,-94.5555555555556
-80.5,-87.7142857142857,-71.3714285714286,-78.0882352941177,-82.5,-78.34375,-93.7142857142857,-88.2,-74.6190476190476,-90.8846153846154,-85.625,-85.9375,-88,-65.2222222222222,-92.8181818181818,-88,-95
-78.2051282051282,-87.5,-70.7118644067797,-77.7105263157895,-84.2352941176471,-80.2093023255814,-94.9090909090909,-87.8333333333333,-76.02,-90.6486486486486,-84.9090909090909,-85.2181818181818,-86.8,-65.2641509433962,-92.2352941176471,-86.0344827586207,-94.8571428571429
-79.1,-88.8888888888889,-70.3653846153846,-77.6153846153846,-84.8,-81.03125,-93.75,-87.75,-76.375,-90.1,-85.3478260869565,-85.3725490196078,-85.3684210526316,-65.5454545454545,-91.9411764705882,-86,-96
-78.9666666666667,-87.6875,-70.6451612903226,-78.8387096774194,-84.6363636363636,-78.8,-94,-90.3333333333333,-74.1481481481482,-90.4411764705882,-85.6818181818182,-83.8,-85.25,-65.7931034482759,-92,NaN,-94.8571428571429
-78.7045454545455,-88.3684210526316,-70.4565217391304,-78.5128205128205,-83.7333333333333,-79.5806451612903,-95,-88.0666666666667,-74.4259259259259,-92.0444444444445,-86.1818181818182,-84.1935483870968,-87,-65.6808510638298,-92.05,-86.75,-94.6666666666667
-77.59375,-84.21875,-71.6315789473684,-78.1666666666667,-87.2857142857143,-78,NaN,-87.8461538461538,-75.969696969697,-91.4594594594595,-85.8928571428571,-84.7543859649123,-85.3888888888889,NaN,-91.9230769230769,-87.9375,-95.3333333333333
-78.7647058823529,-87.5789473684211,-70.6842105263158,-80.258064516129,-86.4285714285714,-79.3,-94.3333333333333,-90.6666666666667,-76.3333333333333,-90.6,-85.8333333333333,-83.4285714285714,-87.05,-65.6666666666667,-92.2,-86.8181818181818,-95
-78.6578947368421,-87.3333333333333,-70.6888888888889,-78.6511627906977,-88,-80.3333333333333,-93.8666666666667,-89.8333333333333,-75.59375,-91.0714285714286,-85.72,-85.0819672131148,-87.3684210526316,-65.780487804878,-91.5909090909091,-86.7777777777778,-95.2666666666667
-79.2916666666667,-85.9047619047619,-71.32,-79.0869565217391,-84.4285714285714,-78.59375,-94.5,-89,-73.48,-92.8666666666667,-86.2727272727273,-84.375,-85.4,-65.4324324324324,-92,-87.9285714285714,-95.25
-79.0588235294118,-84.5294117647059,-71.4615384615385,-78.8421052631579,-86.2,-80.8709677419355,-94.5,-89.875,-75.4137931034483,-90.6511627906977,-86.8823529411765,-83.9130434782609,-85.6923076923077,-65.3333333333333,-92.8888888888889,-88.6666666666667,-95.3333333333333
-79.0652173913043,-86.1428571428571,-71.4310344827586,-79.5135135135135,-83.9375,-78.2058823529412,-93.75,-90.5,-74.5897435897436,-91.24,-86.7586206896552,-84.5294117647059,-87,-65.2222222222222,-92.25,-88.85,-94.8333333333333
-79.1071428571429,-85.8125,-70.0227272727273,-78.84,-82.7777777777778,-80.2258064516129,-93.6,-89.5,-76.4642857142857,-91.0952380952381,-86.7916666666667,-83.9375,-86.8823529411765,-65.6363636363636,-93.375,-88.9090909090909,-95.4285714285714
-78.8913043478261,-86.054054054054,-71.8524590163934,-79.3611111111111,-83.4117647058823,-79.025,-93.8,-93.5,-74.8409090909091,-92.1764705882353,-87.5,-83.4821428571429,-85.7916666666667,-66.0833333333333,-92.3157894736842,-88.3793103448276,-95
-78.0689655172414,-85.6666666666667,-69.8611111111111,-78.5909090909091,-82.6666666666667,-80.3846153846154,-94.4,-89.75,-75.25,-91.2272727272727,-83.9375,-81.6,-86.36,-65.3658536585366,-91.6153846153846,-88.3888888888889,-94
-78.4651162790698,-85.7666666666667,-72.2857142857143,-78.6428571428571,-84.9166666666667,-76.8387096774194,-96,-88.8,-75.8,-91.1428571428571,-87.8125,-83.6607142857143,-86.2592592592593,-65.7058823529412,-92.3846153846154,-88.2105263157895,-95.3888888888889
-79.2,-86.52,-71.7735849056604,-78.8571428571429,-84,-78.4545454545455,-95.1666666666667,-87.6666666666667,-77.1,-91.1935483870968,-88.5172413793103,-83.6595744680851,-87,-65.7,-91.5217391304348,-87.9259259259259,-95.2222222222222
-77.7209302325581,-86.64,-71.2909090909091,-78.8695652173913,-82.625,-79.6909090909091,-94.625,-88.3333333333333,-75.0476190476191,-90.8571428571429,-86.7857142857143,-83.6885245901639,-86.6,-65.4571428571429,-91.6666666666667,-87.375,-94.5
-79.3478260869565,-86.1333333333333,-71.125,-78.6578947368421,-83.2941176470588,-78.4705882352941,-93.6,-88.8,-76,-90.9333333333333,-86.2692307692308,-84.1272727272727,-86.8636363636364,-65.3414634146341,-91.35,-88.0952380952381,-94.8
-78.8253968253968,-85.65,-71.8227848101266,-78.8,-84.0952380952381,-79.2439024390244,-93.8,-88.9545454545455,-74.6,-91.2173913043478,-86.96875,-83.6144578313253,-87.44,-65.4285714285714,-91.0666666666667,-87.1458333333333,-95.2307692307692
-78.5957446808511,-85.4827586206897,-71.15625,-78.95,-84.9523809523809,-78.7666666666667,-93.75,-88.3636363636364,-75.05,-90.7407407407407,-86.5,-84.2923076923077,-88.2666666666667,-65.5581395348837,-92.0588235294118,-87.0333333333333,-94.4
-77.125,-83.0833333333333,-71.3673469387755,-79.7272727272727,-82.1666666666667,-77.0952380952381,-93.75,-87.6,-75.68,-91.4,-86.4285714285714,-85.0975609756098,-87.9375,-65.6571428571429,-91,-86.6842105263158,-96.25
-77.986301369863,-85.0476190476191,-71.2027027027027,-79.7735849056604,-82.5652173913043,-79.6122448979592,-93.3333333333333,-89.1052631578947,NaN,-91.7073170731707,-86.1904761904762,-85.9873417721519,-87.7297297297297,-65.3888888888889,-91.1764705882353,-87.0196078431373,-97
-77.8387096774194,-86.0222222222222,-71.2560975609756,-79.8333333333333,-83.0952380952381,-79.5172413793103,-93.2,-88.35,NaN,-90.9354838709677,-86.7105263157895,-82.9180327868852,-87.0606060606061,-65.7234042553192,-90.695652173913,-87.6052631578947,-96
-77.8936170212766,-86.9310344827586,-71.3174603174603,-78.953488372093,-83.8235294117647,-78.8863636363636,-93.1333333333333,-88.5263157894737,NaN,-91.8620689655172,-87.1875,-84.0943396226415,-85.6923076923077,-65.6,-91.3076923076923,-87.5151515151515,-95.75
-77.0909090909091,-87.3333333333333,-70.8076923076923,-78.1666666666667,-83,-79.4,-94,-88.9333333333333,NaN,-91.16,-87.6363636363636,-83.1276595744681,-85.5714285714286,-65.4705882352941,-90.9375,-88.4545454545455,-95.6
-79.2333333333333,-85.9090909090909,-71.0769230769231,-79.15625,-83.8,-77.258064516129,-94.2,-88.9230769230769,NaN,-91.6363636363636,-87.5769230769231,-84.62,-84.6363636363636,-65.8717948717949,-92.1333333333333,-88.6153846153846,-95.5
-79.675,-85.7,-72.1666666666667,-77.5714285714286,-84.6666666666667,-79.9722222222222,-94.625,-88.7,NaN,-91.0454545454545,-86.2941176470588,-83.1111111111111,-87.6923076923077,-65.8285714285714,-90.5384615384615,-89.1851851851852,-95
-77.9032258064516,-85.4444444444444,-71.2307692307692,-78.7586206896552,-82,-79.375,-96,-88.9230769230769,NaN,-90.8709677419355,-86.7368421052632,-82.5142857142857,-86.8888888888889,-65.3658536585366,-92.2307692307692,-87.375,-96.2
-79.3333333333333,-85.2647058823529,-71.5,-78.0476190476191,-84.9230769230769,-81.3333333333333,-93.25,-89.7272727272727,NaN,-92.0625,-85.46875,-81.7777777777778,-85.56,-65.3863636363636,-92.6428571428571,-87.1428571428571,-95.6666666666667
-79,-85.6,-71.1351351351351,-78.3636363636364,-82.8,-81.25,-93,-88.7,NaN,-92.2758620689655,-85.3125,-82.3913043478261,-87.5555555555556,-65.65625,-91,-88.0769230769231,-94.5
-77.9,-86.4117647058823,-71.5161290322581,-78.6842105263158,-86,-77.4285714285714,-94.3333333333333,-90.6666666666667,NaN,-91.0625,-85.2777777777778,-82.08,-86.7058823529412,-65.68,-91.6666666666667,-88.6,-93.5555555555556
-78.3,-86.0769230769231,-72.6724137931034,-79.1034482758621,-82.125,-77.4666666666667,-94.5,-89.8181818181818,NaN,-90.9310344827586,-84.5789473684211,-82.8333333333333,-85.6923076923077,-65.6458333333333,-92.6363636363636,-90.1666666666667,-94.75
-77.6969696969697,-85.6363636363636,-71.7857142857143,-77.9714285714286,-82.1666666666667,-78.8571428571429,-96,-89.8333333333333,NaN,-91.3513513513514,-84.5454545454545,-83.5,-87.6428571428571,-65.3703703703704,-91.2307692307692,-88.6111111111111,-93.3333333333333
-77.9677419354839,-85.75,-71.8085106382979,-78.4411764705882,-84.2142857142857,-79.9310344827586,-94,-90.2,NaN,-90.9354838709677,-85.6296296296296,-82.219512195122,-85.6666666666667,-65.6,-92.0909090909091,-88.5789473684211,-93.75
-78.1666666666667,-86.15625,-71.5818181818182,-78.9117647058823,-83,-78.5555555555556,-93.875,-90.0714285714286,NaN,-91.28125,-84.2272727272727,-83.6363636363636,-85.72,-65.5897435897436,-91.15,-88.7142857142857,-93.3333333333333
-76.2142857142857,-85.3333333333333,-71.0566037735849,-79.0344827586207,-81.9230769230769,-80.1388888888889,-94.3333333333333,-90.4,NaN,-90.1153846153846,-85.5238095238095,-84.7777777777778,-86.8,-65.3,-91,-88.4285714285714,-92.9411764705882
-80.0952380952381,-85.0384615384615,-70.804347826087,-79.0322580645161,-83,-80.15,-94,-89.5,NaN,-92.25,-85.4090909090909,-83.7714285714286,-85.8666666666667,-65.6969696969697,-90.4,-87.1578947368421,-93.2666666666667
-78.8292682926829,-85.4838709677419,-71.0392156862745,-78.6326530612245,-84.5882352941177,-77.4772727272727,-94.3333333333333,-88.5384615384615,NaN,-95,-84.4615384615385,-85.25,-85.7083333333333,-65.4390243902439,-89.5882352941177,-88.695652173913,-93.6470588235294
-78.2380952380952,-85.5384615384615,-71.4375,-78.2962962962963,-83.75,-78.5454545454545,-94,-89.0909090909091,NaN,-90.8965517241379,-84.4090909090909,-84.6060606060606,-88.8695652173913,-65.695652173913,-91,-87.8421052631579,-94
-78.7872340425532,-86.1851851851852,-70.9833333333333,-77.9512195121951,-82.5555555555556,-79.1219512195122,-94.1666666666667,-88.5652173913043,NaN,-90.8108108108108,-84.9230769230769,-83.0212765957447,-88.0384615384615,-65.3518518518518,-90.3157894736842,-87.6521739130435,-93.5
-79.8541666666667,-85.3636363636364,-71.2931034482759,-78.5476190476191,-82,-79.5102040816327,-94.0833333333333,-87.7058823529412,NaN,-91.3863636363636,-85.8846153846154,-84.2888888888889,-86.1923076923077,-65.4375,-90.7222222222222,-88.6818181818182,-92.5
-80.8947368421053,-85.9210526315789,-70.6382978723404,-78.53125,-82.2307692307692,-79.875,-94.25,-89.1764705882353,-74.2083333333333,-90.2068965517241,-85.68,-83.8717948717949,-87.05,-65.5,-90.625,-87.8823529411765,-93
-77.9814814814815,-86.4594594594595,-70.12,-78.0833333333333,-83.5384615384615,-79.1052631578947,-93.6666666666667,-88.2222222222222,-73.9302325581395,-90.5128205128205,-84.2666666666667,-83.8913043478261,-84.5263157894737,-65.0434782608696,-90.875,-88.2380952380952,-92.8125
-79.6,-85.4864864864865,-71.7547169811321,-78.2051282051282,-84.8181818181818,-79.78125,-93,-88.8,-74.7037037037037,-90.5161290322581,-85.48,-82.4651162790698,-86.0384615384615,-65.3095238095238,-91.7142857142857,-89.6818181818182,-92.4545454545455
-77.7954545454545,-87.2222222222222,-85.65,-85.2,-85.6111111111111,-90.1351351351351,-96,-93.0322580645161,-70.9736842105263,-97.5,-78.4864864864865,-72,-84.8936170212766,-61.5714285714286,-94.3333333333333,-86.6333333333333,NaN
-77.78125,-85.2857142857143,-87.0344827586207,-82.375,-83.9333333333333,-90.8571428571429,-95.7142857142857,-93.5555555555556,-70.5862068965517,-94.3333333333333,-79,-71.6170212765958,-85.1304347826087,-62.1428571428571,-94.5,-86.7368421052632,NaN
-78.7916666666667,-85.75,-86.25,-84.3913043478261,-87.0666666666667,-91.1904761904762,-94.625,-93.6666666666667,-69.75,NaN,-79.2727272727273,-71.7222222222222,-84.9677419354839,-61.8297872340426,-93.8823529411765,-86,NaN
